url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/22452322,50.0,天庆花园对面巷道内,9.1,天庆嘉园,"水果蛋糕,宝贝蛋糕,双层情景蛋糕",10,9.1,9.1,面包/饮品,453.0,老于家的蛋糕店(天庆店),100.0
http://www.dianping.com/shop/98225349,0.0,永昌中路汇盛购物中心5楼,9.1,永昌路,"蓝色妖姬,爆弹黑加仑,红豆双皮奶",10,9.1,9.1,面包/饮品,0.0,糖谷,99.72
http://www.dianping.com/shop/111496739,0.0,中山路54号,9.1,城关区,"霸气红心火龙果,金芒百香果,大颗粒水果茶",10,9.1,9.0,面包/饮品,0.0,青木の茶,99.233
http://www.dianping.com/shop/98444332,0.0,张掖路步行街谷丰美食城18号,9.1,张掖路,"番茄鸳鸯锅,特色全红锅,炝锅鱼",10,9.0,9.1,火锅,0.0,黄记微火锅,99.196
http://www.dianping.com/shop/107741884,0.0,皋兰路中盐大厦西侧,9.0,东方红广场,"八宝醪糟汤,小腰子,妈妈雀舌面",10,9.0,9.1,烧烤,0.0,清真永佳祥烤肉餐厅,91.577
http://www.dianping.com/shop/97691636,14.0,中山路215-1号光大银行旁,9.0,西关十字,"火爆火龙果,茉莉清香榴莲奶慕,青乌龙芝士奶慕",10,9.0,9.0,面包/饮品,682.0,奉茶,91.51
http://www.dianping.com/shop/98858129,66.0,西津西路瑞园42、43号兰石豪布斯卡五号地,9.0,秀川,"港式牛排,沸腾鱼,一品牛腱",10,9.0,9.0,粤菜,290.0,陇佑·陈公馆茶餐厅,91.268
http://www.dianping.com/shop/97792959,105.0,临夏路街道中山路120号亚欧商厦7层001号-1号商铺,9.0,张掖路,"招牌虾滑,番茄锅底,无刺巴沙鱼片",10,9.0,9.0,火锅,130.0,海底捞火锅(亚欧店),91.169
http://www.dianping.com/shop/110795442,0.0,麦积山路鑫源宾馆公交站向西5米,9.0,麦积山路,"烤茄子,半把板筋,烤馍片",10,9.0,9.0,烧烤,0.0,兰州果木烤肉,91.089
http://www.dianping.com/shop/67955008,97.0,东方红广场4-6号国芳集团第9层,9.0,东方红广场,"捞派滑牛肉,招牌虾滑,无刺巴沙鱼片",9,9.1,9.1,火锅,452.0,海底捞火锅(东方红广场店),89.429
http://www.dianping.com/shop/97387323,0.0,先锋路中天嘉苑7号楼2号商铺,9.0,十二街区,"清汤锅,精品羊肉,鲜切羊肉",9,9.0,9.0,火锅,0.0,铜锅开涮  俊杰涮羊肉,88.138
http://www.dianping.com/shop/6139434,108.0,109国道甘肃海丰汽车销售有限公司斜对面,9.0,草场街,"爆炒羊肉,三炮台,自制酸奶",9,8.7,8.9,其他美食,1160.0,阿西娅羊羔肉,86.794
http://www.dianping.com/shop/67734289,46.0,元森北新时代玫瑰园8号楼商铺元通大道119之2号,9.0,北滨河路,"法式柠檬塔,核桃布朗尼,马卡龙礼盒",9,8.9,8.8,面包/饮品,149.0,甘旨･蘭   清真蛋糕,86.731
http://www.dianping.com/shop/98198605,0.0,瑞德大道131号阿波罗广场内,8.9,王府井,"精品毛血旺,叫花排骨,一掌定乾坤",9,9.0,9.0,其他美食,0.0,墨啡精致餐厅,80.519
http://www.dianping.com/shop/67270762,46.0,西关里二楼,8.9,永昌路,"鸳鸯番茄,肥牛,双舌牛油红锅",9,9.0,8.9,火锅,435.0,双舌记串串香(西关店),80.3
http://www.dianping.com/shop/45253760,72.0,平凉路北京华联购物中心2楼,8.9,平凉路,"战斧牛排Tb,黑胡椒蘑菇酱热狗HDBM,心脏病汉堡BHA",9,8.9,8.9,西餐,1028.0,美国巴迪家餐厅(平凉路店),80.142
http://www.dianping.com/shop/98508270,18.0,永昌中路西关里一楼铺面,8.9,城关区,"爱心冰粉,自制酸梅汤,佩奇的肥肠",9,8.9,8.9,快餐简餐,479.0,藤蔓麻辣集团,79.803
http://www.dianping.com/shop/69298793,17.0,木塔巷菜市场正对面,8.9,西关十字,"招牌肉馅饼,高担酿皮,冰爽醪糟",9,8.8,8.5,小吃面食,396.0,再回首,77.276
http://www.dianping.com/shop/2248828,129.0,广场南路西口135号,8.9,皋兰路,"雪花肥牛,虾滑,九记空运鲜毛肚",9,8.5,8.6,火锅,624.0,重庆九记老火锅(广场店),76.332
http://www.dianping.com/shop/23759530,121.0,雁滩路万达金雁巷内,8.8,万达广场,"顶级谷饲超厚菲力牛排,秘制土豆泥,黑汉堡",9,8.9,8.9,西餐,3704.0,Charlie's Burger美国查理餐厅,74.175
http://www.dianping.com/shop/18184434,49.0,五泉路54号,8.8,五泉山,"石锅拌饭,韩式风干肠,五花肉",9,8.8,8.8,烧烤,2687.0,本家韩式料理,72.535
http://www.dianping.com/shop/3464491,70.0,定西路77号,8.8,定西路,"鸡翅,巴沙鱼,焖锅",9,8.5,8.8,火锅,5041.0,黄记煌三汁焖锅(定西路店),72.416
http://www.dianping.com/shop/5360961,28.0,北滨河路754号,8.8,北滨河路,"安泊尔牛肉面,酱牛肉,牛腱子肉",9,8.7,8.8,其他美食,2787.0,安泊尔(北滨河路店),72.072
http://www.dianping.com/shop/98327387,0.0,永昌中路汇胜购物中心5楼,8.8,永昌路,"牛羊双拼,精品太阳卷,极品鲜毛肚",9,9.0,8.8,火锅,0.0,白云宾馆-牧羊世家鱼羊鲜火锅,71.924
http://www.dianping.com/shop/8718167,71.0,西津西路49号银信大厦4楼,8.8,兰州西站,"大队嫩牛肉,大队书记毛肚,大队千层肚",9,8.8,8.7,火锅,2178.0,大队长主题火锅(西津西路店),71.733
http://www.dianping.com/shop/5384202,75.0,酒泉路279号信生大厦2楼,8.8,张掖路,"大队千层肚,大队麻辣牛肉,土豆片",9,8.8,8.8,火锅,1217.0,大队长主题火锅(酒泉路店),71.627
http://www.dianping.com/shop/69618569,40.0,玉门街水世界六楼,8.8,西固区,"金针菇,风干肠,五花肉",9,8.8,8.8,烧烤,972.0,云南涮烤吧(一分店),71.476
http://www.dianping.com/shop/110067817,0.0,大众巷中段120-1号,8.8,张掖路,"甜胚子奶茶,甜心芒芒,招牌鲜萃果茶",9,8.8,8.9,面包/饮品,0.0,沐風(大众巷店),71.363
http://www.dianping.com/shop/93659669,81.0,东岗东路1786号第一干休所,8.8,东岗东路,"涮羊肉,烤羊肉串,土豆片",9,8.8,8.8,火锅,483.0,清真御膳羊烤涮餐厅,71.174
http://www.dianping.com/shop/76743867,11.0,7里南滨河中路金港城糖业烟酒市场大门口,8.8,七里河区,"北京烤鸭,精品毛血旺,私家耗儿鱼",9,8.8,8.8,其他美食,414.0,新天盛酒店,71.131
http://www.dianping.com/shop/110249341,0.0,甘南路702号,8.8,甘南路,"香辣小龙虾,十三香小龙虾,扬州炒饭",9,8.8,8.8,烧烤,0.0,羊小鲜·牛小啤,70.876
http://www.dianping.com/shop/80201830,0.0,南河路2848号,8.8,大润发,"缤纷水果,玫瑰物语,鲜花蛋糕",9,8.8,8.8,面包/饮品,0.0,于氏蛋糕店,70.876
http://www.dianping.com/shop/97065963,0.0,火星街曦华源小区东50米,8.8,兰州西站,"麻辣牛肚,秘制牛肚片,秘制牛肠",9,8.8,8.7,火锅,0.0,快手串串火锅,70.388
http://www.dianping.com/shop/27138057,81.0,正宁路小吃街东口对面邮局隔壁,8.8,双城门,"精品毛肚,定西宽粉,麻辣牛肉",9,8.2,8.7,火锅,4277.0,成都老夏老火锅(正宁路店),69.883
http://www.dianping.com/shop/5314883,14.0,东岗东路1999号王府井百货东门外1楼,8.7,东岗东路,"超冷甜醅子奶茶,芝盐浮云咖啡,放哈甜胚子大红袍奶茶",9,8.5,8.4,咖啡厅,8498.0,放哈咖啡(王府井店),64.98
http://www.dianping.com/shop/24351424,14.0,西太华商厦北侧西太华宾馆对面，阳光家园牡丹苑门口,8.7,兰州西站,"甜胚子奶茶,放哈甜醅子绿茶,芝盐浮云奶茶",9,8.5,8.5,咖啡厅,5966.0,放哈咖啡(西站店),63.904
http://www.dianping.com/shop/101903761,0.0,东岗东路爱琴海门前停车场西域柴火鸡楼下,8.7,王府井,"奥利奥黑森林,芝士南瓜,榴莲霸霸",9,8.8,8.8,面包/饮品,0.0,二分之一tea茶与欧包,63.256
http://www.dianping.com/shop/92068110,17.0,阳光商业街新川林右侧,8.7,兰州西站,"竹炭黑乌龙,乐桃桃优格,黄桃燕麦茶拿铁",9,8.7,8.8,面包/饮品,385.0,烛芒新派茶饮,62.97
http://www.dianping.com/shop/79601965,0.0,柏道路63-1号第2层晴天网咖旁,8.7,城关区,"双层皇冠蛋糕baby同款,火烈鸟暖心粉色气球蛋糕,梦游娃娃暖灯生日蛋糕粉色款",9,8.8,8.7,面包/饮品,0.0,晴天甜品站,62.768
http://www.dianping.com/shop/91972164,11.0,正宁路夜市中段,8.7,城关区,"花枝榴莲,窈窕玉露,白桃乌龙拿铁",9,8.7,8.7,面包/饮品,487.0,对花啜茶(正宁路店),62.545
http://www.dianping.com/shop/98346458,0.0,雁儿湾路202号欣欣嘉园东1-108至110商铺,8.7,城关区,"三合一麻酱料碗,肥牛一号,聚京源特色料碗",9,8.7,8.7,火锅,0.0,聚京源老北京铜锅涮,62.244
http://www.dianping.com/shop/96463670,0.0,西站放哈咖啡向内二十米,8.7,兰州西站,"海鲜黄金饭,麻辣小龙虾,烤土豆片半把",9,8.7,8.6,火锅,0.0,邂逅虾友记,61.756
http://www.dianping.com/shop/97722590,0.0,甘南路835号,8.7,甘南路,"紫菜蛋花汤,农家小炒肉,干锅土豆片",9,8.7,8.6,其他美食,0.0,香溢無二,61.756
http://www.dianping.com/shop/93410895,50.0,道升巷4-22号,8.6,张掖路,"蟹黄小汤包,虾仁小汤包,解馋小汤包",9,9.0,9.2,川菜,350.0,九小记团团店,58.852
http://www.dianping.com/shop/98413572,0.0,西津西路68号,8.6,兰州西站,"澳洲西冷牛排,浓情烤翅,爆服气小吃拼盘",9,8.7,8.7,西餐,0.0,必胜客(西太华店),54.625
http://www.dianping.com/shop/4274773,13.0,正宁路217号,8.6,双城门,"放哈甜胚子大红袍奶茶,放哈甜醅子绿茶,芝盐浮云",9,8.3,8.3,咖啡厅,6540.0,放哈咖啡(正宁路店),54.616
http://www.dianping.com/shop/98504298,89.0,酒泉路北段437-451号金地大厦5F,8.6,酒泉路,"飘香三筋雪花牛肉,海南椰子鸡鸡,麻辣小龙虾",9,8.6,8.7,粤菜,342.0,名庭一哥•港式火锅,54.312
http://www.dianping.com/shop/70610468,0.0,张掖路275号,8.6,城关区,"芒果冰淇淋,焦糖布丁可丽,抹茶冰淇淋",9,8.7,8.5,其他美食,0.0,清真松枝记滋蛋仔,53.649
