url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/6084676,23.0,中山路东街小学西50米路南,8.1,定州市其他,"迷糊公主蛋糕,财源滚滚,玫瑰心语",8,8.1,8.2,面包/饮品,283.0,喜来登蛋糕连锁,100.0
http://www.dianping.com/shop/32571892,18.0,中山路紫光都商厦1楼底商,8.0,定州市中心城区,"蛋挞,招牌手撕面包,培根披萨",8,7.9,8.0,面包/饮品,933.0,幸福鸟烘焙,91.589
http://www.dianping.com/shop/21687673,17.0,嘉园福购物商城1楼底商,7.9,定州市中心城区,"水果盛宴蛋糕,招牌手撕面包,蟠桃贺寿",8,7.9,8.0,面包/饮品,879.0,喜来登蛋糕(长安店),84.627
http://www.dianping.com/shop/21687503,33.0,中山中路时代广场西侧金街口,7.9,定州市中心城区,"奶油蛋糕,蛋挞,真爱",8,7.8,7.9,面包/饮品,1404.0,喜来登蛋糕(中山路店),84.13
http://www.dianping.com/shop/9407604,26.0,兴华中路与博陵北街交叉口东行50米处路南,7.9,定州市中心城区,"生日蛋糕,蛋挞,水果切糕",8,7.9,7.9,面包/饮品,258.0,喜来登蛋糕,83.254
http://www.dianping.com/shop/21687737,19.0,明月街与兴华中路交汇口西北角,7.8,定州市中心城区,"水果盛宴蛋糕,蔓越莓,紫玫瑰",8,7.7,7.8,面包/饮品,696.0,喜来登蛋糕连锁(二中店),75.118
http://www.dianping.com/shop/21950219,25.0,中山路与明月街交叉口北,7.8,定州市中心城区,"8寸生日蛋糕,双层水果蛋糕,水果盒子",7,7.8,7.8,面包/饮品,857.0,阿标蛋糕,67.488
http://www.dianping.com/shop/92462260,0.0,兴华东路与自来佛街交叉口西行50米,7.7,定州市其他,"提拉米苏,蛋黄酥,裸蛋糕",8,7.8,7.7,面包/饮品,0.0,三只小羊,67.39
http://www.dianping.com/shop/21687716,20.0,北门街与兴华路交叉口西北角,7.8,定州市中心城区,"水果盛宴蛋糕,椰蓉面包,执着蛋糕",7,7.8,7.8,面包/饮品,546.0,喜来登(北门街店),67.079
http://www.dianping.com/shop/92438257,0.0,回民街房产交易所东10米胡同内,7.8,定州市其他,"烤韭菜,烤蘑菇,烧烤",7,7.8,7.9,冀菜,0.0,回民大院,66.914
http://www.dianping.com/shop/67055987,27.0,中兴西路新人民医院西侧水利局家属院北行200米路东,7.8,定州市其他,"骨头,涮菜面条,大骨头",7,7.8,7.8,自助餐,393.0,外婆家骨头锅(新人民医院店),66.877
http://www.dianping.com/shop/21687642,81.0,博陵南街金苑公寓底商,7.8,定州市中心城区,"紫玫瑰,娃娃蛋糕,水果盛宴蛋糕",7,7.7,7.8,面包/饮品,558.0,喜来登蛋糕连锁(博陵街店),66.46
http://www.dianping.com/shop/77347508,16.0,南城区鼓楼街,7.8,定州市其他,"酸辣两掺,原味土豆粉,番茄两掺",7,7.8,7.8,快餐简餐,3.0,姐弟俩土豆粉,66.363
http://www.dianping.com/shop/79280836,0.0,中山西路北侧,7.8,定州市其他,"老北京炸酱面,京酱肉丝,椒盐大虾",7,7.8,7.8,快餐简餐,0.0,老北京炸酱面,66.359
http://www.dianping.com/shop/111547485,0.0,中山东路崇文街,7.8,宝塔,"小吃拼盘,红糖冰粉,小料",7,7.8,7.8,火锅,0.0,不二村串串火锅,66.359
http://www.dianping.com/shop/80619199,0.0,定曲路定通超市负一层1号商铺,7.8,定州市其他,"至于招牌奶绿,沁爽柠檬汁,布丁奶茶",7,7.8,7.8,面包/饮品,0.0,至于生活+,66.359
http://www.dianping.com/shop/48305568,25.0,商业街大世界一层,7.8,定州市其他,"招聘蛋糕,胡萝卜蛋糕,全麦面包",7,7.7,7.8,面包/饮品,332.0,心岸烘焙坊,66.163
http://www.dianping.com/shop/91860599,0.0,自来佛南街宝塔花园小区,7.7,定州市其他,"小龙虾,麻辣龙虾,羊腰",7,7.8,7.8,小龙虾,0.0,春鼎麻辣龙虾,59.469
http://www.dianping.com/shop/21687709,13.0,自来佛南街花园小区十字路口南行20米路东,7.7,定州市中心城区,"水果缤纷蛋糕,水果盛宴蛋糕,招牌手撕面包",7,7.7,7.7,面包/饮品,851.0,喜来登(花园小区店),59.401
http://www.dianping.com/shop/21687905,34.0,明月街中山公园大世界超市门口对面,7.7,定州市中心城区,"水果盛宴蛋糕,执着蛋糕,蔓越莓",7,7.7,7.7,面包/饮品,826.0,喜来登蛋糕连锁(公园店),59.369
http://www.dianping.com/shop/21687542,29.0,商业街新天地对面,7.7,定州市中心城区,"生日蛋糕,水果盛宴蛋糕,水果缤纷",7,7.7,7.7,面包/饮品,809.0,喜来登蛋糕连锁(新天地店),59.346
http://www.dianping.com/shop/21687560,16.0,商业街亚太比邻手机北侧20米,7.7,定州市中心城区,"水果盛宴蛋糕,迷糊娃娃蛋糕,玫瑰心语",7,7.7,7.7,面包/饮品,712.0,喜来登蛋糕连锁(红光店),59.218
http://www.dianping.com/shop/65731134,15.0,北环路领秀城对面东行100米,7.7,定州市中心城区,"素米线,过桥米线,大理米线",7,7.7,7.7,快餐简餐,595.0,大理米线,59.064
http://www.dianping.com/shop/6085302,19.0,中山中路广丰商厦(定州塔文博园对面)十字路口南行50米,7.7,定州市其他,"水果盛宴蛋糕,蟠桃贺寿,寿桃",7,7.7,7.7,面包/饮品,495.0,喜来登,58.932
http://www.dianping.com/shop/66493621,14.0,崇文街34-5号,7.7,定州市其他,"雪花鸡柳,桥头排骨,绝味里脊",7,7.7,7.7,快餐简餐,158.0,桥头排骨,58.488
http://www.dianping.com/shop/92555674,0.0,长胜园社区1号,7.7,定州市其他,总督豆腐,7,7.7,7.7,快餐简餐,0.0,谷生元(长胜园店),58.28
http://www.dianping.com/shop/110400140,0.0,赵村社区,7.7,定州市其他,,7,7.7,7.7,快餐简餐,0.0,乡愁重庆小面,58.28
http://www.dianping.com/shop/101702861,0.0,兴定西路172安源大厦3楼,7.7,定州火车站,,7,7.7,7.7,川菜,0.0,小醉川酸菜鱼,58.28
http://www.dianping.com/shop/110849168,0.0,大世界十字路口北行200米路东,7.7,大世界/时代,"隐隐麻辣口味锅底,香菇,鹌鹑蛋",7,7.7,7.7,快餐简餐,0.0,溢汁泡泡鸡（定州商业街店）(（定州商业街店）),58.28
http://www.dianping.com/shop/22439674,28.0,建设街西号,7.7,定州市中心城区,"手掰肠,焖子,泡椒猪皮",7,7.7,7.6,其他美食,29.0,双马肉食部,57.763
http://www.dianping.com/shop/23951618,10.0,中山东路473号,7.7,定州市其他,"无水蛋糕,板栗酥,宫廷桃酥",7,7.6,7.6,面包/饮品,208.0,无水蛋糕 板栗酥,57.365
http://www.dianping.com/shop/107692970,0.0,南建设街东侧,7.6,大世界/时代,,7,7.7,7.7,其他美食,0.0,喵董欢辣啵啵鱼,51.39
http://www.dianping.com/shop/40405068,77.0,中山中路大世界综合体6楼,7.6,定州市其他,"鸳鸯锅底,精品羔羊,鲜虾滑",7,7.6,7.6,火锅,798.0,渝味精致重庆老火锅(大世界广场店),51.253
http://www.dianping.com/shop/37786466,14.0,明月南街风景城底商,7.6,定州市中心城区,"无骨大鸡排,招牌大鸡排,鸡排伴侣",7,7.6,7.5,小吃面食,885.0,第1佳大鸡排(公园店),50.812
http://www.dianping.com/shop/110866087,0.0,中山中路大世界购物中心,7.6,大世界/时代,"排骨小面,杂酱面",7,7.6,7.7,快餐简餐,0.0,特色重庆小面(大世界共享星厨店),50.756
http://www.dianping.com/shop/66542304,15.0,崇文街34-1号水木兰亭对面,7.6,定州市其他,"无骨大鸡排,炸鸡排,鸡排伴侣",7,7.6,7.6,快餐简餐,335.0,第1佳大鸡排,50.642
http://www.dianping.com/shop/24932023,15.0,商业街永和豆浆斜对面,7.6,定州市中心城区,"招牌大鸡排,魔芋丸,甜不辣",7,7.5,7.5,小吃面食,982.0,第1佳大鸡排(定州大世界店),50.306
http://www.dianping.com/shop/65860867,40.0,博陵满街景秀江山底商兄弟烧烤城,7.6,定州市其他,"涮肚,蒸饺,烤韭菜",7,7.6,7.6,烧烤,2.0,兄弟烧烤城,50.204
http://www.dianping.com/shop/66164010,0.0,崇文街28号,7.6,定州市其他,"驴肉火烧,驴腱子,驴板肠",7,7.6,7.6,小吃面食,0.0,李家驴肉火烧(崇文街店),50.201
http://www.dianping.com/shop/95194366,0.0,崇文街5号楼4号商铺,7.6,宝塔,"西红柿炖牛腩,面包诱惑,铁板水晶粉",7,7.6,7.6,快餐简餐,0.0,邂逅餐厅,50.201
