url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/99346794,0.0,青年西街广场中心幼儿园门口西侧,9.3,甘州区,"造型蛋糕,摩点个性小双层D,摩点个性小双层C",10,9.3,9.3,面包/饮品,0.0,摩点时光烘焙(旗舰店),100.0
http://www.dianping.com/shop/65390788,25.0,玉关路新乐小区北门地震局旁,9.2,甘州区,"水果蛋糕,蛋挞,蛋糕",10,9.2,9.2,面包/饮品,1793.0,安特鲁烘焙坊,95.996
http://www.dianping.com/shop/66758567,50.0,张火公路都市118酒店楼下,9.0,甘州区,"铁锅红沙窝羊肉,清炒油麦菜,老家毛血旺",9,9.0,9.0,西北菜,152.0,老家味道主题餐厅,82.621
http://www.dianping.com/shop/66155054,51.0,丹霞公路七彩丹霞小镇,9.0,临泽县其他,"特色炒肉,酸辣夹沙,东乡土豆片",9,9.0,8.9,西北菜,383.0,清真·伊清阁餐厅,82.408
http://www.dianping.com/shop/40739763,70.0,南环路新闻大厦对面动感地带二楼,8.9,甘州区,"秘制香辣牛肉,番茄鸳鸯锅,鲜切牛羊肉",9,8.9,8.9,火锅,252.0,锦火锅,77.523
http://www.dianping.com/shop/66765826,72.0,滨河新区玉水商业街九孔桥向北100米路东,8.8,甘州区,"肃南羊肉,土豆,凤爪",9,8.8,8.9,西北菜,444.0,李二姐大锅台,72.847
http://www.dianping.com/shop/57429428,42.0,西大街盘旋路天源小区对面,8.7,甘州区,"培根五花肉,五花肉鸡胗,土豆片",9,8.7,8.6,烧烤,1928.0,尚烤烤肉(西关店),67.92
http://www.dianping.com/shop/67465694,67.0,玉水商业街112号,8.7,甘州区,"手抓羊肉,酸辣羊肚,山菇面片",9,8.7,8.7,西北菜,268.0,祁连羊肉馆,67.209
http://www.dianping.com/shop/48045440,63.0,欧式街北段馨园社区北20米,8.7,甘州区,"羊肉,羊前腿,后腿肉",9,8.6,8.7,火锅,718.0,清真月月羊开锅羊肉,67.102
http://www.dianping.com/shop/58584430,52.0,南大街31号,8.5,甘州区,"美极烧茄酥,土豆烧排骨,梅菜扣肉",8,8.5,8.5,西北菜,814.0,祥永大酒店,55.247
http://www.dianping.com/shop/66254968,25.0,万寿商业街前段小吃街7号,8.5,甘州区,"鱿鱼紫菜包饭,金枪鱼包饭,辣白菜紫菜包饭",8,8.5,8.4,韩国料理,681.0,仲基家紫菜包饭,54.799
