url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/4501893,63.0,敦煌市北台巷,9.3,敦煌市其他,"白条羊羔肉,红焖羊肉,孜然羊排",10,9.3,9.2,其他美食,2660.0,靖远尕六美味羊羔肉,100.0
http://www.dianping.com/shop/10360417,59.0,月映路阳关福地底商,9.3,敦煌市其他,"孜然羊排,手抓羊肉,蒜茸油麦菜",10,9.2,8.9,其他美食,729.0,范记靖远羊羔肉,95.0
http://www.dianping.com/shop/45829686,93.0,沙州北路13号万盛公馆2楼,9.1,敦煌市其他,"手切鲜羊肉,鲜切嫩牛肉,景熙丰特色字母牛油锅中锅",10,9.1,9.1,火锅,634.0,景熙丰清真火锅,87.553
http://www.dianping.com/shop/67751939,11.0,鸣沙南路998号月牙泉小镇,9.1,敦煌市其他,"杏皮水,蜜制杏干茶,秘制杏干茶",10,9.0,9.0,面包/饮品,125.0,刘红杏·杏皮水店(月牙泉小镇店),85.908
http://www.dianping.com/shop/67000611,48.0,天润花园社区综合楼6号,9.1,敦煌市其他,"胡羊焖饼,杏皮水,凉拌甘蓝菜",10,8.7,8.4,其他美食,943.0,壹阁胡羊焖饼,84.448
http://www.dianping.com/shop/13803167,93.0,鸣山北路杨家桥卫生院斜对面,9.0,敦煌市其他,"果木烤羊腿,发面饼,金品土窑果木烤羊排",10,9.1,9.0,烧烤,553.0,杨家庄土窑烤全羊,83.286
http://www.dianping.com/shop/32317050,55.0,鸣山北路莫高宾馆傍边小吃街内30米左手（天润花园六号商业楼2号）,9.0,敦煌市其他,"羊肉焖饼,杏皮水,沙葱炒鸡蛋",9,8.8,8.5,其他美食,2434.0,大漠胡羊焖饼,82.385
http://www.dianping.com/shop/98514569,55.0,莫高镇环城东路6号敦煌丝路怡苑大酒店一层商铺,9.0,沙州南路,"土豆烤羊排,新疆沙湾大盘鸡,漫驼骆特色土火锅",10,9.0,9.0,其他美食,119.0,漫驼骆餐饮,82.111
http://www.dianping.com/shop/98169984,13.0,西域路沙洲派出所西50米,9.0,沙州南路,"酿皮,牛肉肉夹馍,凉粉",9,9.0,9.0,快餐简餐,164.0,马家酿皮(沙洲派出所西店),80.409
http://www.dianping.com/shop/18592953,14.0,农贸市场特色小吃一条街22号,8.9,敦煌市其他,"泡儿油糕,甜焙子,油泼面",10,9.0,8.3,面包/饮品,109.0,泡儿油糕,76.017
http://www.dianping.com/shop/17893913,45.0,西河坝巷滨河世纪家园北门重庆嘉福元火锅斜对面,8.8,敦煌市其他,"羊肉焖饼,紫甘蓝,豆芽拌面筋",9,8.7,8.6,小吃面食,1071.0,胡羊焖饼,72.202
