url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/9919284,64.0,八一东路60号,8.8,格尔木市其他,"酸奶,白条羊排,手抓羊肉",9,8.8,8.8,青海菜,112.0,振华手抓大王,100.0
http://www.dianping.com/shop/6118835,20.0,八一中路与中山路交叉口,8.7,格尔木市其他,"酸奶,骨头汤,牦牛汤",9,8.7,8.6,其他美食,198.0,牦牛大骨汤,94.735
http://www.dianping.com/shop/9910925,21.0,昆仑南路2-4号,8.1,格尔木市其他,"牛杂汤,羊杂汤,肚丝汤",8,8.1,8.1,其他美食,773.0,张家牛杂汤,61.311
http://www.dianping.com/shop/65851962,0.0,柴达木中路46号（金穗向东30米）,8.1,格尔木市其他,"草鱼,凉拌猪耳,凉拌三丝",8,8.1,8.1,川菜,0.0,重庆特色瓦缸烤鱼,60.485
http://www.dianping.com/shop/39764560,0.0,食品街东头宝瑞轩小区门面爱多客蛋糕店,8.1,格尔木市其他,"小蛋糕,水果蛋糕,棒棒糖蛋糕",8,8.1,8.0,面包/饮品,0.0,爱多客蛋糕,60.131
http://www.dianping.com/shop/69349806,50.0,格茫公路金鱼湖景区内,8.0,格尔木市其他,"烤全羊,酸辣里脊,水煮牛肉",8,8.0,8.0,青海菜,25.0,名羊天下特色烤全羊,55.508
http://www.dianping.com/shop/32603055,15.0,柴达木路世邦广场3楼,7.9,格尔木市其他,"乳酪蛋糕,榴莲蛋糕,手工装饼干",8,7.9,7.9,面包/饮品,606.0,泰尼派,51.126
http://www.dianping.com/shop/67597125,30.0,建兴巷红伟玉器小吃市场,7.9,格尔木市其他,"荤素串串,自助料碗,苕皮",8,7.8,7.8,火锅,246.0,重庆八旺火锅串串,50.001
http://www.dianping.com/shop/58290351,100.0,金鱼湖景区内老马烤全羊,7.9,格尔木市其他,"凉拌黄瓜,油炸花生米,土豆丝",7,7.9,7.9,烧烤,30.0,老马烤全羊,46.138
http://www.dianping.com/shop/77353828,67.0,-1东路玉都饭店附近,7.8,格尔木市其他,"羊肉串小把,炕锅,酸奶",8,7.8,7.7,烧烤,215.0,尕胡才炕锅烤羊肉馆(八一路店),45.351
http://www.dianping.com/shop/32555568,26.0,柴达木路世邦广场3楼西侧,7.8,格尔木市其他,"水果紫菜包饭,烤肉石锅饭,辣白菜炒年糕",7,7.8,7.8,韩国料理,3486.0,金三顺韩式料理,44.826
http://www.dianping.com/shop/23414489,15.0,育才巷教育局招生办对面,7.8,格尔木市其他,"狼牙土豆,臭豆腐,冰粉",7,7.9,7.8,小吃面食,516.0,土豆哥狼牙土豆,42.04
http://www.dianping.com/shop/98501427,0.0,八一中路米兰咖啡西行20米路南,7.8,八一中路,"麻辣牛肉,麻辣小郡肝,香菜牛肉",7,7.9,7.9,火锅,0.0,钢管厂五区小郡肝串串香,41.843
http://www.dianping.com/shop/57894507,15.0,昆仑路德盛商厦门口,7.8,格尔木市其他,"原味奶茶,鸡腿排,金惠玉米奶茶",7,7.8,7.8,小吃面食,270.0,台湾大鸡排,41.391
http://www.dianping.com/shop/40062473,0.0,昆仑中路玉玲珑大厦旁,7.8,格尔木市其他,烤羊肉,7,7.8,7.8,烧烤,0.0,马占明天祥烤羊肉,41.102
http://www.dianping.com/shop/92064694,0.0,知青路民乐苑3栋,7.8,格尔木市其他,"柠檬玫瑰果露,原味甜甜圈,脏脏蛋糕",7,7.8,7.8,面包/饮品,0.0,森林cake私房蛋糕,41.102
http://www.dianping.com/shop/32341913,12.0,八一中路西海通讯旁,7.8,格尔木市其他,"手工拉面,青椒炒肉拌面,特色汤拉面",7,7.7,7.7,快餐简餐,470.0,顶香面馆,40.864
http://www.dianping.com/shop/59441901,23.0,建设西路市五中南门西行50米,7.7,格尔木市其他,"芭芘蛋糕,圆形蛋糕,千层蛋糕盒",7,7.8,7.7,面包/饮品,241.0,大拇指蛋糕坊,36.743
http://www.dianping.com/shop/66328760,14.0,百姓万家生活超市,7.7,格尔木市其他,"香蕉奶茶,哈密瓜奶茶,青苹果奶茶",7,7.8,7.7,面包/饮品,136.0,茶物语,36.631
http://www.dianping.com/shop/24974636,17.0,宇宙巷园丁二小区东侧商铺,7.7,格尔木市其他,"榴莲千层蛋糕,榴莲切块蛋糕,美味蛋糕",7,7.8,7.7,面包/饮品,110.0,午后时光私房烘焙,36.603
http://www.dianping.com/shop/23119956,10.0,荣盛步行街澳亚化妆城对面,7.7,格尔木市其他,"桂圆红枣奶茶,酷爽柠檬,平安可乐",7,7.7,7.7,面包/饮品,334.0,可百可奶茶,36.456
http://www.dianping.com/shop/58293513,29.0,建设中路143号,7.7,格尔木市其他,"擀面皮,外带拌面筋,肉酱米粉",7,7.7,7.7,快餐简餐,328.0,爱情麻辣烫(建设路一分店),36.449
http://www.dianping.com/shop/66431880,36.0,八一中路珠峰大厦二楼,7.7,格尔木市其他,"现切羊肉,牛肉,鲜豆腐",7,7.7,7.7,火锅,269.0,百缘聚清真火锅,36.386
http://www.dianping.com/shop/9915712,48.0,中山路5号,7.7,格尔木市其他,"特色羊肉串,精品炕羊排,特色炕锅羊肉",7,7.7,7.7,烧烤,8.0,大胡子烤羊肉,36.108
http://www.dianping.com/shop/113878394,0.0,昆仑中路黄河国际大酒店二楼,7.7,昆仑路,"优质大拼,牦牛大拼盘,腐竹",7,7.7,7.7,火锅,0.0,好兄弟主题老火锅,36.099
http://www.dianping.com/shop/92204487,0.0,建设中路39号,7.7,格尔木市其他,"拍黄瓜,板筋,羊肉串",7,7.7,7.7,烧烤,0.0,马乙黑烤吧,36.099
http://www.dianping.com/shop/40464263,0.0,食品街中段,7.7,格尔木市其他,,7,7.7,7.7,火锅,0.0,旧院牛肉,36.099
http://www.dianping.com/shop/26949331,10.0,站前一路铁路市场南门东侧进左手第四家,7.7,格尔木市其他,"酸菜肉丝,排骨面,凉面",7,7.7,7.6,快餐简餐,284.0,蓉城面馆,36.049
http://www.dianping.com/shop/27193480,57.0,柴达木路世邦广场,7.6,格尔木市其他,"麻辣锅底,毛肚,鲜切牛肉",7,7.6,7.7,火锅,1481.0,一品鼎盛清真火锅,33.032
http://www.dianping.com/shop/58007791,10.0,世邦城市广场3楼,7.6,格尔木市其他,"蜂蜜柚子茶,布丁双拼奶茶,椰子米修",7,7.6,7.6,面包/饮品,1226.0,曼果甜品站,32.406
http://www.dianping.com/shop/41384435,30.0,站前一路铁路市场南门西行20米路北,7.6,格尔木市其他,"红糖糍粑,冒毛肚,火锅粉",7,7.5,7.5,火锅,1909.0,厕所串串,32.395
http://www.dianping.com/shop/66807791,0.0,坨坨河镇唐镇宾馆旁,7.6,格尔木市其他,,7,7.7,7.7,川菜,0.0,重庆餐厅,31.836
http://www.dianping.com/shop/23266027,62.0,柴达木路世邦城市广场4楼,7.5,格尔木市其他,"酱汁焖鸡翅锅,酱汁2人份套餐,排骨",7,7.5,7.5,火锅,5249.0,过锅瘾三汁焖锅,31.7
http://www.dianping.com/shop/32594566,15.0,柴达木中路世邦广场3楼,7.6,格尔木市其他,"香草鲜奶茶,黄金甲,草莓多拿滋",7,7.5,7.6,咖啡厅,904.0,站亭甜甜圈咖啡,31.675
http://www.dianping.com/shop/5392381,17.0,育红巷中段15号3层,7.6,格尔木市其他,"经典牛扒,皮蛋瘦肉粥,迪欧特惠牛排",7,7.6,7.6,咖啡厅,498.0,迪欧咖啡,31.628
http://www.dianping.com/shop/110536942,0.0,航空巷,7.6,格尔木市其他,,7,7.6,7.7,火锅,0.0,走街串巷,31.45
http://www.dianping.com/shop/69268778,43.0,柴达木中路盐湖一小区北门向西30米路南,7.6,格尔木市其他,"羊肉串,炕锅羊肉 。     面片。,炕土豆",7,7.6,7.6,烧烤,120.0,马克力木烤羊肉,31.224
http://www.dianping.com/shop/79680059,19.0,柴达木西路西城印象二期三号铺面,7.6,格尔木市其他,"奥尔良烤翅,鸡肉卷,皮蛋瘦肉粥",7,7.6,7.6,快餐简餐,105.0,格尔木贝克汉堡,31.208
http://www.dianping.com/shop/44330320,0.0,大众路与民主巷交叉口旁,7.6,格尔木市其他,"碗装酸奶,杯装酸奶,酸奶",7,7.6,7.6,面包/饮品,0.0,马尔温手工酸奶坊,31.096
http://www.dianping.com/shop/96525104,0.0,建设西路五中旁向西一百米,7.6,格尔木市其他,"青海土火锅,土豆块,馍片",7,7.6,7.6,火锅,0.0,青海土火锅,31.096
http://www.dianping.com/shop/103623486,0.0,格茫公路分离立交,7.6,格尔木市其他,,7,7.6,7.6,新疆菜,0.0,新疆和田同路人特色饭店,31.096
http://www.dianping.com/shop/98224839,0.0,育红巷阳光超市对面,7.6,格尔木市其他,巧克力蛋挞,7,7.6,7.6,面包/饮品,0.0,密语芝间.新西兰岩烧乳酪,31.096
http://www.dianping.com/shop/97387762,0.0,玲珑湾14号楼一层,7.6,格尔木市其他,,7,7.6,7.6,烧烤,0.0,马义黑烤肉美食城,31.096
http://www.dianping.com/shop/67934529,0.0,中山路与航空巷交口向南20米,7.6,格尔木市其他,,7,7.6,7.6,火锅,0.0,手艺烫菜馆,31.096
http://www.dianping.com/shop/9915507,0.0,江源南路17号,7.6,格尔木市其他,凉面,7,7.6,7.6,新疆菜,0.0,新疆伊斯兰餐厅,31.096
http://www.dianping.com/shop/104951467,0.0,站前二路23-33号,7.6,格尔木市其他,,7,7.6,7.6,火锅,0.0,九香渔馆,31.096
http://www.dianping.com/shop/22965705,0.0,食品街博得电子旁,7.6,格尔木市其他,,7,7.6,7.6,川菜,0.0,乡村地锅鸡,31.096
http://www.dianping.com/shop/9912206,0.0,站前二路126号附近,7.6,格尔木市其他,,7,7.6,7.6,青海菜,0.0,周家酿皮店,31.096
http://www.dianping.com/shop/80457762,0.0,江源南路7-11号,7.6,格尔木市其他,牦牛大骨汤,7,7.6,7.6,快餐简餐,0.0,朱记牦牛大骨汤,31.096
http://www.dianping.com/shop/96561992,0.0,玲珑湾南门对面草原巷昆仑花园门口,7.6,八一中路,"土豆片,特制香油,料碗",7,7.6,7.6,火锅,0.0,霸鼎香火锅,31.096
http://www.dianping.com/shop/11567529,65.0,昆仑中路205号德克士2楼,7.5,格尔木市其他,"经典牛扒,黑椒牛柳炒意粉,香辣牛肉带边披萨",7,7.5,7.5,西餐,1338.0,米萝咖啡(昆仑店),27.522
http://www.dianping.com/shop/97824613,0.0,格尔木中山路32-5,7.5,中山路,,7,7.6,7.6,快餐简餐,0.0,三顾冒菜,26.833
http://www.dianping.com/shop/102508853,0.0,八一中路18号,7.5,八一中路,"清汤麻辣烫,敦煌杏皮水",7,7.6,7.6,快餐简餐,0.0,玛伊辣麻辣烫,26.833
http://www.dianping.com/shop/32470352,25.0,八一中路华兴商场三楼,7.5,格尔木市其他,"水果披萨,素食主义披萨,培根披萨",7,7.5,7.5,西餐,537.0,里奥披萨工坊,26.666
http://www.dianping.com/shop/24775327,10.0,八一西路和谐家园大门西侧,7.5,格尔木市其他,"腐竹木耳,麻辣鸭翅,香辣鸡翅",7,7.6,7.5,小吃面食,166.0,留一斤卤肉,26.656
http://www.dianping.com/shop/51067328,22.0,八一东路星龙大厦楼下,7.5,格尔木市其他,"炮仗面,自制酸奶,小菜",7,7.4,7.5,快餐简餐,870.0,华英炮仗碗拌甜加粥,26.636
http://www.dianping.com/shop/18081192,21.0,迎宾路铁路市场南头向南50米,7.5,格尔木市其他,"羊肉清汤,优质泡馍,优质清汤",7,7.6,7.5,快餐简餐,107.0,西府羊肉泡(第二分店),26.593
http://www.dianping.com/shop/23547843,28.0,站前二路铁路农贸市场内,7.5,格尔木市其他,"情侣米线,黄焖鸡,黄焖排骨",7,7.5,7.5,快餐简餐,357.0,南北缘云南过桥米线,26.474
