url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/79618353,81.0,大众街8号,9.2,城东区,"伊然轩秘制牛大骨,青稞饼,土豆炕羊排",10,9.3,9.3,青海菜,1073.0,清真伊然轩青海特色美食,100.0
http://www.dianping.com/shop/69147946,17.0,力盟步行街大食巷美食城楼下忆口香旁边,9.2,城西区,"樱花草莓冰乐,抹茶奥利奥奶茶,芝士极品白桃乌龙茶",10,9.2,9.2,面包/饮品,2614.0,Regiustea皇茶力盟店,99.736
http://www.dianping.com/shop/76845503,42.0,盐湖巷13号23幢222号新宁路小学斜对面,9.1,虎台,"四重奏,榴芒双拼,下午茶半熟芝士小蛋糕",10,9.1,9.1,面包/饮品,1338.0,幸福西饼生日蛋糕,92.884
http://www.dianping.com/shop/93331247,49.0,夏都大街与乐都路十字路口路北向东50米邮政银行巷内100米,9.1,夏都大街,"菌汤锅,火锅,特调冷饮",10,9.1,9.1,火锅,942.0,清真·飙串火锅串串,92.722
http://www.dianping.com/shop/76927120,27.0,广场路万达广场夏都金街二楼1-125号,9.1,海湖新区,"花甲,八爪鱼,河虾",10,9.1,9.1,其他美食,481.0,柒吙花甲,92.534
http://www.dianping.com/shop/102046529,0.0,西关大街130号唐道E220,9.1,西郊,"十八秒下饭牛肉,椒麻鸡,日本豆腐煲",10,9.1,9.1,其他美食,0.0,天赐粮鸡,92.337
http://www.dianping.com/shop/112285380,0.0,富兴路彭家寨西侧,9.1,西郊,"自制大饼,牦牛大骨汤,青海羊肉汤",10,9.1,9.1,其他美食,0.0,神雕老字号牦牛大骨汤旗舰店,92.337
http://www.dianping.com/shop/108320470,0.0,交通巷五四大街45号,9.1,城西区,特色椒麻鸡,10,9.1,9.1,其他美食,0.0,玖香飘新疆特色椒麻鸡(力盟店),92.337
http://www.dianping.com/shop/108096785,0.0,西海路海湖大道9号,9.1,城北区,"可乐,宽粉,烤鱼",10,9.1,9.1,火锅,0.0,清真·佰斯特冒三鲜主题串串,92.337
http://www.dianping.com/shop/98863714,0.0,海湖新区广场路一号SOHO公寓11322室,9.1,西郊,"马卡龙,布丁,慕斯蛋糕小甜品",10,9.1,9.1,面包/饮品,0.0,苔菓甜品工作室(清真),92.337
http://www.dianping.com/shop/101922230,0.0,人民街书画古玩城斜对面悦玺公寓一号楼二单元24楼2243室,9.1,西门,"DIY蛋糕,DIY奶翻蛋糕,水果花蛋糕",10,9.1,9.1,面包/饮品,0.0,觅糖时光DIY烘培蛋糕坊,92.337
http://www.dianping.com/shop/97955418,46.0,海湖新区世通国际东门向南50米,9.1,西郊,"青海土火锅,迎客茶,炸馍片",10,9.1,9.0,火锅,388.0,间味青海土火锅,92.082
http://www.dianping.com/shop/98303560,19.0,建国路26号柏曼酒店旁,9.1,七一路,"雪山牛骨汤,牦牛壮骨汤,毛牛肉酱",10,9.0,9.0,青海菜,421.0,雪山堂牦牛壮骨汤,91.616
http://www.dianping.com/shop/15865272,18.0,五四大街58号中泰百货1楼左側,9.0,力盟步行街,"玉树牦牛酸奶,牦牛奶茶,酥油茶",10,9.1,9.1,面包/饮品,583.0,玉树查拉牦牛酸奶,87.138
http://www.dianping.com/shop/33216012,23.0,祁连路锦绣江南四号楼二单元18楼,9.0,城北区,"韩式裱花蛋糕,蛋糕胚,鲜牛奶",10,9.0,9.0,面包/饮品,1462.0,鲨客DIY主题翻糖蛋糕店,86.604
http://www.dianping.com/shop/102294543,66.0,建国大街建国路26-18号,9.0,城东区,"秘制料碗,蘭番坊鲜切羊肉,自制羊肉卷",10,9.0,9.0,火锅,435.0,清真·蘭番坊铜锅涮肉,86.184
http://www.dianping.com/shop/96307963,0.0,五四大街王府井c馆西侧虎台一巷内100米,9.0,虎台,"江团,红糖糍粑,竹笋",9,9.0,9.0,火锅,0.0,品怡火锅城(王府井C馆店),83.153
