url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/102470904,0.0,兴华路与酒厂路交叉口鹿城广场3F-7,9.2,商业城,"大白菜,龙须西湖葫,生菜球",10,9.2,9.2,火锅,0.0,遇见辣魅(鹿城广场店),100.0
http://www.dianping.com/shop/57391581,44.0,方碑东大街与兴华路交叉口东北角,9.0,商业城,"金枪鱼拳头饭团,韩式鸡排火锅,蜂蜜芥末炸鸡",10,9.0,9.0,韩国料理,2664.0,KOPO韩国料理,91.54
http://www.dianping.com/shop/18775973,25.0,束鹿大街与东华路交叉口北行388米路西,8.8,辛集北国超市,"黑森林草莓水果蛋糕,猕猴桃蛋糕,水果巧克力",9,8.8,8.8,面包/饮品,4696.0,鑫爱蛋糕店,80.623
http://www.dianping.com/shop/66645768,14.0,顺城街12号,8.8,泰和商圈,"鸡肉咖喱焗饭,手工奥尔良鸡肉汉堡,手工藤椒鸡排汉堡",9,8.9,8.8,西餐,697.0,品格披萨,79.022
http://www.dianping.com/shop/103026418,0.0,建设大街建设东大街合家欢西邻,8.7,辛集市其他,"芥香海藻,上海青,冻豆腐",9,8.8,8.7,火锅,0.0,鱼万福云南蒸气石锅鱼,73.791
http://www.dianping.com/shop/96135019,0.0,安定大街与文昌路交叉口东北侧,8.7,商业城,"牛眼肉,餐包,自助小料",9,8.7,8.7,火锅,0.0,名都晓荷塘主题火锅,73.418
http://www.dianping.com/shop/103608321,0.0,安定东大街126号,8.7,商业城,"鱼豆腐,芒顿小镇,百威啤酒",9,8.7,8.7,小龙虾,0.0,虾食客,73.418
http://www.dianping.com/shop/23637921,11.0,建设大街与兴华路交口泰和一楼,8.4,泰和商圈,"国足臭豆腐,泡菜,爆肚",8,8.4,8.3,小吃快餐,1767.0,国足臭豆腐,57.136
http://www.dianping.com/shop/90068348,0.0,辛集市束鹿东大街96号,8.4,辛集市其他,"胖掌柜五香卤鸭掌,杨家私房五香卤蛋,热干面",8,8.5,8.4,面馆,0.0,杨家热干面,56.984
http://www.dianping.com/shop/14879974,15.0,朝阳路与建设大街交口东南角飞马大酒店便宜坊内,8.4,辛集市其他,"情有独钟,水果百汇,奶油水果",8,8.4,8.4,面包/饮品,309.0,香酥王糕点,56.764
http://www.dianping.com/shop/15866601,45.0,建设大街与兴华路交叉口西行50米路南,8.3,泰和商圈,"黑椒牛排,铁板沙朗牛排,和牛西冷牛排",8,8.3,8.3,西餐,5220.0,皇妃一帘幽梦西餐厅,54.3
